"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9"
"416",416,"2","58","5","6","2","2","9","7","3","3","3","2","22","2","6","2","9","33",NA,"15","65","1","1","4"
"417",417,"2","3","12","8","2","2","2","4","3","3","3","2","40","2","2","2","40","25",NA,"11","50","1","1","3"
"418",418,"3","30","2","5","2","2","2","4","3","3","3","2","55","2","5","5","9","22",NA,"59","49","1","1","1"
"419",419,"30","7","2","2","2","2","2","4","3","3","3","2","22","2","2","2","13","17",NA,"53","17","6","1","1"
"420",420,"4","43","2","6","2","2","2","4","3","3","3","2","2","2","10","5","13","22",NA,"10","4","1","1","1"
"421",421,"1","87","12","4","2","2","2","4","3","3","3","2","45","2","9","5","61","5",NA,"25","6","1","1","1"
"422",422,"1","58","17","6","2","2","2","4","3","3","3","2","17","2","2","2","4","3",NA,"50","13","1","5","7"
"423",423,"2","43","5","4","6","2","2","7","3","3","3","2","1","2","9","2","74","40",NA,"30","16","1","1","3"
"424",424,"15","19","10","4","8","2","9","7","3","3","3","2","15","2","9","2","6","9",NA,"33","4","1","5","1"
"425",425,"67","48","1","5","1","3","1","1","6","1","4","4","7","1","10","2","4","34",NA,"20","4","1","1","1"
"426",426,"30","88","2","3","2","3","2","1","6","1","4","4","74","2","2","2","6","31",NA,"16","17","1","1","1"
"427",427,"44","43","2","2","2","2","2","4","3","3","3","2","1","2","2","2","67","38",NA,"39","67","7","1","1"
"428",428,"29","23","2","3","2","2","2","4","3","3","3","2","17","2","2","2","4","63",NA,"32","12","1","1","1"
"429",429,"48","48","2","2","2","2","2","4","3","3","3","2","20","2","2","22","10","4",NA,"29","8","1","1","1"
"430",430,"78","24","7","8","1","2","2","4","3","3","3","2","8","2","2","2","59",NA,NA,"12","13","1","1","1"
"431",431,"2","70","1","1","1","3","1","1","1","1","4","4","19","1","12","2","13",NA,NA,"56","17","1","1","1"
"432",432,"44","14","1","1","2","2","8","4","3","3","3","2","43","2","2","2","4",NA,NA,"32","57","1","1","1"
"433",433,"1","14","1","2","2","2","2","4","3","3","3","2","45","2","5","2","14",NA,NA,"12","57","1","1","1"
"434",434,"17","22","1","2","1","2","1","1","1","3","3","2","13","1","2","2","15",NA,NA,"28","17","1","1","1"
"435",435,"49","59","2","9","2","2","2","4","3","3","3","2","10","2","2","2","4",NA,NA,"47","12","7","1","1"
"436",436,"34","7","7","5","2","2","9","4","3","3","3","2","56","2","2","2","7",NA,NA,"12","64","1","1","1"
"437",437,"74","17","9","2","2","2","2","4","3","3","3","2","10","2","2","2","6",NA,NA,"32","72","10","1","4"
"438",438,"17","32","11","7","2","2","2","4","3","3","3","2","54","2","2","5","67",NA,NA,"62","14","10","1","1"
"439",439,"2","55","9","5","2","2","2","4","3","3","3","2","10","2","2","5","6",NA,NA,"41","72","1","1","1"
"440",440,"15","20","3","2","12","2","2","4","3","3","3","2","65","2","2","2","10",NA,NA,"5","7","6","1","5"
"441",441,"2","32","17","6","2","2","5","4","3","3","3","2","41","2","2","5","10",NA,NA,"19","17","10","1","1"
"442",442,"19","1","4","4","14","2","5","7","3","3","3","2","44","2","2","2","10",NA,NA,"26","69","3","1","7"
"443",443,"1","19","15","2","14","2","9","7","3","3","3","2","3","2","2","2","9",NA,NA,"35","34","1","1","1"
"444",444,"2","41","5","6","2","2","5","7","3","3","3","2","41","2","9","2","18",NA,NA,"29","65","1","1","1"
"445",445,"2","17","2","2","2","2","2","7","3","3","3","2","16","2","6","2","6",NA,NA,"4","13","1","1","3"
"446",446,"33","21","2","2","2","2","2","7","3","3","3","2","66","2","2","2","4",NA,NA,"57","4","1","1","1"
"447",447,"63","61","7","2","2","2","2","4","3","3","3","2","42","2","2","2","14",NA,NA,"19","57","1","1","1"
"448",448,"26","11","7","4","2","2","2","4","3","3","3","2","13","2","2","2","6",NA,NA,"26","16","3","1","1"
"449",449,"53","63","6","2","2","2","2","4","3","3","3","2","4","2","2","2","10",NA,NA,"32","15","1","1","7"
"450",450,"5","29","7","2","2","2","2","7","3","3","3","2","47","2","2","2","4",NA,NA,"19","36","1","1","1"
"451",451,"37","83","16","2","2","2","2","4","3","3","3","2","39","2","2","2","9",NA,NA,"46","9","1","1","1"
"452",452,"2","17","16","2","2","6","2","4","3","3","3","2","14","2","2","2","10",NA,NA,"38","2","1","1","1"
"453",453,"15","61","13","5","2","2","2","4","3","3","3","2","62","2","2","2","9",NA,NA,"20","7","1","1","1"
"454",454,"8","5","4","2","2","2","2","4","3","3","3","2","41","2","10","2","32",NA,NA,"3","24","1","1","5"
"455",455,"2","25","9","2","2","2","2","4","3","3","3","2","15","2","8","2","4",NA,NA,"4","36","1","1","1"
"456",456,"2","30","2","5","2","2","2","4","3","3","3","2","21","2","2","21","7",NA,NA,"12","52","1","1","1"
"457",457,"67","17","2","2","6","2","2","4","3","3","3","2","21","2","2","2","2",NA,NA,"30","13","1","1","1"
"458",458,"48","17","4","2","6","2","2","4","3","1","3","2","44","2","5","21","25",NA,NA,"42","36","1","1","1"
"459",459,"34","5","2","7","2","2","2","4","3","3","3","2","4","2","2","2","10",NA,NA,"32","14","10","1","1"
"460",460,"58","85","8","2","2","2","2","4","3","3","3","2","28","2","2","2","10",NA,NA,"44","24","1","1","7"
"461",461,"10","15","8","9","2","2","2","4","3","3","3","2","1","2","2","2","6",NA,NA,"32","36","1","7","1"
"462",462,"46","22","16","2","2","2","2","4","3","3","3","2","5","2","2","2","6",NA,NA,"45","50","1","1","1"
"463",463,"5","86","16","2","2","2","2","4","3","3","3","2","23","2","2","2","3",NA,NA,"20","36","7","1","1"
"464",464,"29","61","16","2","2","2","2","4","3","3","3","2","25","2","2","2","8",NA,NA,"64","64","1","1","1"
"465",465,"46","11","8","2","2","2","2","4","3","3","3","2","25","2","2","2","6",NA,NA,"32","69","1","1","1"
"466",466,"15","32","2","2","2","2","2","4","3","3","3","2","5","2","2","2","6",NA,NA,"25","38","1","1","1"
"467",467,"3","13","9","2","2","2","2","4","3","3","3","2","60","2","2","2","28",NA,NA,"6","52","1","1","1"
