"","stations","lon","lat","address"
"510","LMU Commercial Road, Whitechapel, London, United Kingdom",-0.065908,51.514845,"london metropolitan university, whitechapel, london e1 1nz, uk"
"511","Percival Street, Finsbury, London, United Kingdom",-0.102272,51.5260865,"percival st, london, uk"
"512","Black Prince Road, Vauxhall, London, United Kingdom",-0.1161613,51.4906305,"black prince rd, vauxhall, london, uk"
"513","Bonny Street, Camden Town, London, United Kingdom",-0.1397665,51.5417333,"bonny st, camden town, london nw1, uk"
"514","Waterloo Place, St. James's, London, United Kingdom",-0.1323652,51.5072053,"waterloo pl, st. james's, london sw1y, uk"
"515","Devonshire Square, Liverpool Street, London, United Kingdom",-0.077983,51.5168294,"7th floor, 6 devonshire square, spitalfields, london ec2m 4ye, uk"
"516","Crabtree Lane, Fulham, London, United Kingdom",-0.2211725,51.4822866,"crabtree ln, fulham, london, uk"
"517","Harrowby Street, Marylebone, London, United Kingdom",-0.1641941,51.5173804,"harrowby st, marylebone, london, uk"
"518","Manbre Road, Hammersmith, London, United Kingdom",-0.2241099,51.4864272,"manbre rd, hammersmith, london w6, uk"
"519","Wren Street, Holborn, London, United Kingdom",-0.1155054,51.5253337,"wren st, holborn, london, uk"
"520","St. Martin's Street, West End, London, United Kingdom",-0.1299476,51.5094883,"st martin's st, west end, london, uk"
