"","id","fast_greedy","walks","infomap","louvain"
"650","117",3,3,1,4
"651","223",1,3,1,4
"652","238",4,1,3,1
"653","257",4,1,3,1
"654","261",2,1,2,2
"655","271",4,1,3,1
"656","362",4,3,1,1
"657","367",4,1,3,1
"658","387",3,1,1,4
"659","394",4,1,3,1
"660","402",4,1,3,1
"661","410",4,1,3,1
"662","488",1,2,1,4
"663","490",1,2,1,4
"664","510",1,2,1,3
"665","531",1,2,1,3
"666","545",4,1,3,1
"667","548",1,3,1,4
"668","551",1,2,1,3
"669","592",2,1,2,2
"670","643",2,1,2,2
"671","713",4,1,3,1
"672","721",1,2,1,3
"673","815",3,1,1,4
"674","820",1,3,1,4
"675","312",4,1,3,1
"676","315",4,1,3,1
"677","590",4,1,3,1
"678","60",4,1,3,1
"679","600",3,1,1,4
"680","805",2,1,2,2
"681","10",1,3,1,4
"682","62",1,3,1,4
"683","86",3,3,1,4
"684","276",1,3,1,4
"685","284",3,3,1,4
"686","299",2,1,2,4
"687","328",1,2,1,3
"688","339",4,3,1,1
"689","371",3,1,1,4
"690","435",3,3,1,4
"691","437",3,3,1,4
"692","461",1,2,1,3
"693","494",1,2,1,3
"694","532",1,2,1,3
"695","570",1,2,1,3
"696","641",3,1,1,4
"697","697",4,3,1,1
"698","712",1,2,1,3
"699","716",1,2,1,3
"700","828",3,3,1,4
"701","134",1,2,1,4
"702","156",1,3,1,4
"703","317",1,3,1,4
"704","411",1,3,1,4
"705","445",1,2,1,3
"706","497",1,2,1,3
"707","501",1,2,1,3
"708","513",1,2,1,3
"709","637",2,1,2,2
"710","838",1,3,1,3
"711","295",1,3,1,4
"712","451",1,2,1,4
"713","463",1,2,1,3
"714","478",1,2,1,3
"715","491",1,2,1,3
"716","538",1,2,1,3
"717","829",3,3,1,4
"718","33",1,2,1,3
"719","79",1,3,1,4
"720","715",1,2,1,3
"721","602",3,1,1,4
"722","297",3,3,1,4
"723","355",3,1,1,4
"724","530",1,2,1,3
"725","678",2,1,2,2
"726","766",2,1,2,2
"727","550",1,2,1,3
"728","453",1,2,1,3
"729","471",1,2,1,3
"730","556",1,2,1,3
"731","787",1,2,4,3
"732","794",3,1,1,4
"733","448",1,2,1,3
"734","669",3,1,1,4
"735","676",3,1,1,4
"736","688",2,1,2,2
"737","734",2,1,2,2
"738","808",3,1,1,4
"739","516",1,2,1,3
"740","470",1,2,1,3
"741","789",1,2,4,3
"742","469",1,2,1,3
"743","484",1,2,1,3
"744","518",1,2,1,3
"745","735",2,1,2,2
"746","685",2,1,2,2
"747","468",1,2,1,3
"748","472",1,2,1,3
"749","576",1,2,1,3
"750","812",1,2,4,3
"751","487",1,2,1,3
"752","499",1,2,1,3
"753","523",1,2,1,3
"754","786",1,2,4,3
"755","816",1,2,4,3
"756","481",1,2,1,3
"757","565",1,2,1,3
"758","694",2,1,2,2
"759","752",2,1,2,2
"760","597",2,1,2,2
"761","675",2,1,2,2
"762","705",2,1,2,2
"763","708",2,1,2,2
"764","720",2,1,2,2
"765","774",2,1,2,2
"766","447",1,2,1,3
"767","526",1,2,1,3
"768","554",1,2,1,3
"769","474",1,2,1,3
"770","519",1,2,1,3
"771","563",1,2,1,3
"772","454",1,2,1,3
"773","473",1,2,1,3
"774","547",1,2,1,3
"775","741",2,1,2,2
"776","629",2,1,2,2
"777","743",2,1,2,2
"778","728",2,1,2,2
"779","504",1,2,1,3
"780","623",2,1,2,2
"781","689",2,1,2,2
"782","767",2,1,2,2
"783","455",1,2,1,3
"784","586",1,2,1,3
"785","291",2,1,2,2
"786","476",1,2,1,3
"787","709",2,1,2,2
